#{"t_start": 1763562762.375329, "env_id": "None"}
r,l,t
-27.705519,500,468.137372
-46.172817,500,468.137381
-10.945195,500,468.137391
-162.13144,500,468.137398
-73.62816,500,469.448039
-21.542685,500,469.448093
-13.697648,500,469.44811
-82.67307,500,469.448118
-101.29785,500,469.448126
-9.583675,500,469.448133
-36.516212,500,481.356094
-11.271235,500,481.356147
-47.709663,500,481.35616
-69.41345,500,481.356168
-85.287605,500,481.356176
-31.519386,500,481.356183
-31.508179,500,482.627234
-79.177124,500,482.627293
-14.576799,500,482.627308
-17.056648,500,482.627316
-120.87133,500,482.627327
-23.209927,500,482.627334
-70.88296,500,495.933956
-35.34901,500,495.934011
-9.60063,500,495.934025
-4.0040555,500,495.934034
-36.136486,500,495.934041
-38.91025,500,495.934048
-52.43154,500,497.258077
-75.03077,500,497.258426
-15.405637,500,497.258448
-43.0454,500,497.258458
-170.91687,500,497.25847
-69.37357,500,497.258477
-9.505458,500,510.281454
-9.644371,500,510.281784
-80.34449,500,510.281801
-30.66624,500,510.28181
-39.3805,500,510.281818
-17.690355,500,510.281825
-41.318417,500,511.540702
-56.777935,500,511.540759
-65.09724,500,511.540772
-130.84662,500,511.540781
-52.50104,500,511.540789
-164.8135,500,511.540795
-9.114336,500,523.670515
-65.25065,500,523.670568
-14.48216,500,523.670585
-56.149704,500,523.670594
-27.87215,500,523.670601
-22.585121,500,523.670608
-53.48021,500,524.922057
-83.71046,500,524.922106
-43.28943,500,524.922118
-21.716679,500,524.922127
-17.21371,500,524.922134
-12.126502,500,524.922142
-130.79741,500,539.11463
-37.172886,500,539.114973
-109.39825,500,539.114998
-20.425804,500,539.115008
-25.359928,500,539.115016
-96.21964,500,539.115023
-75.581696,500,540.380667
-73.2607,500,540.380718
-26.742016,500,540.380732
-37.947052,500,540.38074
-9.812091,500,540.380748
-101.10327,500,540.380755
-67.465904,500,554.572083
-58.474457,500,554.572137
-8.842211,500,554.57215
-47.637093,500,554.572159
-31.061838,500,554.572167
-41.850636,500,554.572175
-14.085339,500,555.870615
-9.724099,500,555.870668
-39.56873,500,555.870681
-17.707647,500,555.87069
-30.579718,500,555.870698
-26.251898,500,555.870705
-70.612755,500,570.170296
-19.914186,500,570.171107
-37.279434,500,570.171159
-55.86328,500,570.171169
-33.111034,500,570.171177
-21.636822,500,570.171185
-55.664783,500,571.513673
-35.1561,500,571.513728
-123.00979,500,571.51374
-49.52208,500,571.513749
-45.46866,500,571.513756
-85.27055,500,571.513763
-44.714085,500,586.298349
-79.0259,500,586.29841
-133.35246,500,586.298423
-22.461752,500,586.298432
-112.22355,500,586.29844
-35.187637,500,586.298448
-111.7702,500,587.670021
-113.75288,500,587.670071
-17.279907,500,587.670087
-16.026226,500,587.670096
-7.990321,500,587.670104
-83.79946,500,587.670111
-75.89146,500,601.570057
-45.41208,500,601.570108
-33.866024,500,601.57012
-3.7884967,500,601.570129
-15.559448,500,601.570136
-109.49212,500,601.570144
-19.506954,500,602.83751
-45.845955,500,602.837562
-49.39751,500,602.837576
-113.9335,500,602.837584
-155.04893,500,602.837591
-25.027996,500,602.837599
-48.126724,500,617.111067
-51.03161,500,617.111122
-74.99309,500,617.111135
-45.904346,500,617.111143
-30.117044,500,617.11115
-14.667693,500,617.111157
-17.48322,500,618.379865
-41.629726,500,618.379913
-120.95739,500,618.379929
-105.272446,500,618.379937
-91.217636,500,618.379944
-5.90798,500,618.379951
-33.072186,500,619.637841
-64.96299,500,619.637894
-14.945836,500,619.637906
-59.21871,500,619.637915
-59.550365,500,619.637922
-95.71287,500,619.637929
-60.13325,500,634.318422
-77.96561,500,634.318475
-105.183655,500,634.318487
-50.98135,500,634.318496
-32.878036,500,634.318504
-21.09858,500,634.318511
-90.05764,500,635.589467
-127.50892,500,635.58952
-45.367134,500,635.589533
-34.508595,500,635.589541
-92.064445,500,635.589549
-81.88915,500,635.589557
-47.102734,500,649.991641
-64.411026,500,649.991698
-136.12386,500,649.991711
-150.52415,500,649.991719
-37.017124,500,649.991727
-101.33937,500,649.991734
-17.844412,500,651.259137
-62.079964,500,651.259189
-88.48776,500,651.259206
-63.17589,500,651.259215
-41.695557,500,651.259223
-59.79824,500,651.25923
-56.039047,500,665.541759
-111.57264,500,665.541813
-33.996113,500,665.541829
-24.979456,500,665.541837
-133.80037,500,665.541845
-105.510315,500,665.541852
-218.48567,500,666.807451
-79.30023,500,666.807499
-10.727759,500,666.807511
-11.461514,500,666.807519
-4.157122,500,666.807527
-13.69245,500,666.807534
-70.38477,500,680.753959
-181.1072,500,680.754018
-148.72284,500,680.754034
-82.26469,500,680.754042
-95.74096,500,680.75405
-101.854,500,680.754058
-100.087074,500,682.00793
-25.61507,500,682.007982
-29.7883,500,682.007995
-28.68452,500,682.008003
-32.14305,500,682.00801
-96.30994,500,682.008018
-25.312107,500,695.050018
-58.914246,500,695.050068
-28.70024,500,695.050081
-14.158658,500,695.05009
-134.73,500,695.050098
-122.15147,500,695.050105
-38.363266,500,696.319231
-97.877556,500,696.319281
-79.518394,500,696.319297
-1.650263,500,696.319306
-71.10445,500,696.319313
-90.75594,500,696.31932
-52.81713,500,710.119763
-78.52599,500,710.119817
-195.84729,500,710.11983
-53.031364,500,710.119839
-20.733932,500,710.119846
-62.785538,500,710.119853
-137.84389,500,711.370806
-194.9365,500,711.370863
-19.617378,500,711.370877
-4.5516567,500,711.370885
2.8032672,500,711.370896
-72.21596,500,711.370903
-67.06578,500,724.263013
-22.264875,500,724.263069
-26.882866,500,724.263082
-90.18239,500,724.263091
-108.81222,500,724.263099
-117.76546,500,724.263106
-79.268585,500,725.522382
-25.948288,500,725.522432
-33.349674,500,725.522447
-94.75148,500,725.522456
-36.980408,500,725.522463
-184.9899,500,725.522474
-34.76458,500,738.421699
-89.73371,500,738.421751
-159.54398,500,738.421764
3.248102,500,738.421772
-34.495728,500,738.42178
-107.08117,500,738.421787
-324.6578,500,739.685978
-63.28708,500,739.68603
-119.73916,500,739.686043
-263.34253,500,739.686051
-104.812386,500,739.686059
-96.78449,500,739.686066
-20.138767,500,752.811676
-139.84877,500,752.811732
-82.43723,500,752.811749
-165.36629,500,752.811758
-102.798134,500,752.811765
-93.977974,500,752.811783
-199.18819,500,754.063455
-53.67574,500,754.063501
-59.989887,500,754.063512
-114.2034,500,754.063519
-68.59412,500,754.063526
-50.00947,500,754.063532
-109.41903,500,766.144894
-28.28163,500,766.144948
-80.54167,500,766.144965
-155.73073,500,766.144974
-159.33714,500,766.144981
-123.5966,500,766.144988
-85.934,500,767.391607
-73.26681,500,767.391659
-68.00814,500,767.391671
-89.00271,500,767.39168
-7.3267803,500,767.391687
-7.7428455,500,767.391694
-63.237923,500,780.07888
-59.103107,500,780.078936
-112.90216,500,780.078949
-15.294524,500,780.078958
-24.705635,500,780.078965
-36.427067,500,780.078972
-13.803486,500,781.34256
-220.77527,500,781.342611
-35.668602,500,781.342623
-132.39088,500,781.342632
