#{"t_start": 1763179029.037796, "env_id": "None"}
r,l,t
-270.08755,500,513.958401
-303.9784,500,513.958461
-716.05096,500,513.958479
-343.59128,500,513.95849
-226.51006,500,513.9585
-1080.1829,500,513.958508
-246.45934,500,520.013237
-1161.7737,500,520.013295
-269.71625,500,520.013311
-228.14708,500,520.013322
-303.6025,500,520.013331
-557.7803,500,520.01334
-1142.4229,500,526.210974
-1166.8176,500,526.211033
-366.35126,500,526.211049
-422.61435,500,526.21106
-285.52997,500,526.21107
-387.96854,500,526.211078
-468.84164,500,532.207767
-1089.7692,500,532.207826
-435.22192,500,532.207843
-262.03098,500,532.207853
-725.8966,500,532.207863
-267.46622,500,532.207872
-1796.5497,500,538.36026
-457.8212,500,538.360316
-466.03253,500,538.36033
-548.5563,500,538.36034
-528.2779,500,538.360349
-848.35187,500,538.360357
-287.3553,500,544.352636
-3292.799,500,544.352698
-497.46875,500,544.352712
-399.6169,500,544.352723
-319.81284,500,544.352733
-1266.214,500,544.352745
-243.10455,500,550.413486
-666.7334,500,550.413542
-550.54193,500,550.413557
-466.43552,500,550.413567
-342.0715,500,550.413576
-716.7911,500,550.413585
-276.9106,500,556.855657
-410.68082,500,556.856512
-303.9591,500,556.856539
-214.11194,500,556.85655
-356.8114,500,556.85656
-988.7774,500,556.856568
-1988.1638,500,562.911428
-936.2001,500,562.911487
-395.3913,500,562.911505
-195.04688,500,562.911515
-457.5068,500,562.911525
-258.69632,500,562.911534
-334.94232,500,569.137125
-372.8776,500,569.137186
-468.56055,500,569.137201
-391.85638,500,569.137212
-4187.7427,500,569.137221
-463.5909,500,569.13723
-320.62936,500,575.099477
-1030.4099,500,575.099536
-759.8247,500,575.099551
-271.93594,500,575.099561
-232.78087,500,575.09957
-558.6437,500,575.099579
-243.8125,500,581.309363
-733.60254,500,581.309726
-710.04706,500,581.309748
-751.3925,500,581.309759
-799.085,500,581.309769
-209.934,500,581.309778
-203.01546,500,587.341898
-554.1977,500,587.341957
-272.50232,500,587.341973
-1112.6959,500,587.341995
-465.76132,500,587.342005
-759.44244,500,587.342014
-764.28644,500,593.440665
