#{"t_start": 1762358729.7267962, "env_id": "None"}
r,l,t
-277.98215,501,119.978721
-317.2918,501,119.978734
-374.5376,501,119.978744
-336.39496,501,120.827524
-378.16415,501,120.827565
-376.59564,501,120.827577
-318.5667,501,120.827586
-334.10568,501,121.733152
-284.48526,501,121.733201
-317.51526,501,121.733214
-292.24493,501,121.733224
-317.32703,501,122.561753
-318.26367,501,122.561803
-302.77002,501,122.561817
-340.35367,501,122.561827
-340.19287,501,123.466167
-358.77835,501,123.466215
-419.38754,501,123.466227
-311.2171,501,123.466236
-271.91153,501,124.280707
-281.06284,501,124.280744
-306.02368,501,124.280756
-428.5426,501,124.280765
-334.4554,501,125.182645
-392.9952,501,125.182706
-343.39026,501,125.182722
-275.52106,501,125.182732
-382.16528,501,125.993518
-336.88977,501,125.993558
-349.89694,501,125.993571
-295.99435,501,125.99358
-449.689,501,126.897973
-237.90456,501,126.898025
-271.1643,501,126.898042
-269.14038,501,126.898051
-355.33218,501,127.710382
-274.32477,501,127.710426
-316.10638,501,127.710438
-382.31924,501,127.710447
-310.1407,501,128.608457
-409.70993,501,128.608507
-273.31616,501,128.608522
-396.00528,501,128.608532
-265.12686,501,129.418453
-370.25055,501,129.418492
-312.61353,501,129.418504
-333.6605,501,129.418513
-272.83075,501,130.314171
-318.06488,501,130.314226
-355.2553,501,130.314239
-288.4715,501,130.314248
-290.1428,501,131.118736
-298.02048,501,131.118775
-292.63516,501,131.118787
-386.49747,501,131.118797
-440.34988,501,132.023298
-359.61502,501,132.023354
-336.02875,501,132.023366
-310.67642,501,132.023375
-334.18622,501,132.830166
-298.05038,501,132.830213
-313.66675,501,132.830228
-298.4049,501,132.830238
-272.1193,501,133.734973
-330.95944,501,133.735023
-249.85568,501,133.735039
-335.325,501,133.735048
-332.5459,501,134.53875
-373.76874,501,134.538788
-294.16315,501,134.5388
-285.24786,501,134.53881
-237.2309,501,135.43259
-282.4498,501,135.432638
-388.50507,501,135.432651
-316.9258,501,135.43266
-447.61447,501,136.232548
-404.3368,501,136.23259
-351.5917,501,136.232616
-354.47842,501,136.232625
-273.03445,501,137.149184
-328.19882,501,137.149231
-359.85898,501,137.149242
-312.1905,501,137.14925
-483.44415,501,138.125333
-283.1702,501,138.125377
-350.49136,501,138.125389
-405.88507,501,138.125397
-423.71466,501,139.131168
-484.71536,501,139.131215
-380.58978,501,139.131227
-260.61676,501,139.131235
-449.96362,501,140.01347
-348.92108,501,140.013519
-245.16864,501,140.013534
-502.97302,501,140.013543
-307.89493,501,140.955403
-479.97845,501,140.955449
-279.52042,501,140.955461
-501.85223,501,140.955469
-497.26996,501,141.830718
-390.18744,501,141.830773
-322.75192,501,141.830785
-368.14786,501,141.830793
-367.75217,501,142.78029
-452.83163,501,142.780338
-611.8421,501,142.78035
-411.79337,501,142.780358
-277.49783,501,143.608565
-625.5749,501,143.608613
-411.67877,501,143.608625
-442.77344,501,143.608634
-473.81332,501,144.517214
-343.00882,501,144.517262
-437.61124,501,144.517274
-467.23608,501,144.517282
-373.18085,501,145.336936
-394.72638,501,145.336983
-280.21036,501,145.336998
-241.48058,501,145.337007
-548.97266,501,146.235517
-368.45865,501,146.235562
-450.88867,501,146.235575
-411.3195,501,146.235583
-590.3425,501,147.050727
-545.44336,501,147.050774
-352.24878,501,147.050786
-291.4979,501,147.050794
-511.14896,501,147.956034
-482.8899,501,147.956083
-308.89825,501,147.956097
-313.29504,501,147.956106
-264.46204,501,148.765486
-343.8344,501,148.765529
-585.1173,501,148.765542
-379.93314,501,148.765551
-489.93048,501,149.666243
-312.4852,501,149.666296
-492.3321,501,149.666309
-397.40634,501,149.666319
-349.75275,501,150.480559
-403.44855,501,150.480609
-275.4141,501,150.480622
-630.9768,501,150.480632
-409.15237,501,151.386464
-336.5938,501,151.386519
-208.18416,501,151.386532
-401.77585,501,151.386542
-514.8372,501,152.208864
-335.1158,501,152.20892
-347.1598,501,152.208934
-138.53198,501,152.208943
-333.51224,501,153.114917
-553.33307,501,153.114977
-338.85355,501,153.11499
-393.22934,501,153.114999
-590.462,501,153.924334
-359.32202,501,153.924376
-460.31583,501,153.924389
-312.2425,501,153.924398
-380.097,501,154.84109
-523.1261,501,154.841144
-583.555,501,154.841157
-277.65796,501,154.841166
-317.0494,501,155.651589
-584.69183,501,155.651635
-360.36652,501,155.651648
-330.26443,501,155.651658
-393.91934,501,156.568314
-177.34476,501,156.568374
-163.71526,501,156.568386
-377.01352,501,156.568396
-191.82164,501,157.39598
-332.4612,501,157.396032
-186.14594,501,157.396046
-458.73706,501,157.396055
-239.50734,501,158.316583
-400.05536,501,158.316636
-167.93298,501,158.316651
-190.70409,501,158.31666
-134.19875,501,159.127884
-363.15604,501,159.127925
-354.2824,501,159.127938
-102.21406,501,159.127948
-469.33508,501,160.050405
-304.74054,501,160.050464
-92.51521,501,160.050476
-237.66977,501,160.050486
-315.4191,501,160.864676
-253.6207,501,160.864717
-131.75656,501,160.864733
-486.4445,501,160.864742
-296.16843,501,161.687562
-359.094,501,161.687605
-110.263855,501,161.687618
-372.90588,501,161.687628
-118.670135,501,162.609813
-406.41837,501,162.60987
-483.3181,501,162.609886
-114.097664,501,162.609896
-116.20048,501,163.43414
-415.6354,501,163.434184
-287.19922,501,163.4342
-144.48558,501,163.43421
-302.80212,501,164.350278
-231.7034,501,164.350326
-280.74603,501,164.35034
-291.24484,501,164.35035
-257.903,501,165.177815
-298.023,501,165.177854
-231.56412,501,165.177867
-414.01578,501,165.177877
-232.00682,501,166.100373
-345.29825,501,166.10043
-104.52307,501,166.100443
-296.07492,501,166.100453
-246.85779,501,166.940241
-161.11044,501,166.940288
