#{"t_start": 1763848939.568932, "env_id": "None"}
r,l,t
-192.16928,500,88.813435
-202.86343,500,90.223883
-129.34029,500,90.223935
-139.33023,500,90.223952
-159.30995,500,90.22396
-160.73212,500,90.223968
-151.78496,500,90.223975
-169.8172,500,91.491253
-153.78745,500,91.491301
-119.438,500,91.491313
-162.58182,500,91.491321
-253.11333,500,91.491329
-214.42409,500,91.491336
-184.9139,500,92.909781
-170.04555,500,92.909829
-149.95082,500,92.909841
-88.57418,500,92.90985
-83.3467,500,92.909857
-108.96771,500,92.909865
-151.42276,500,94.170107
-100.5215,500,94.170161
-165.05269,500,94.170173
-172.57161,500,94.170185
-115.50853,500,94.170193
-131.98262,500,94.1702
-115.79263,500,95.579704
-103.53207,500,95.579769
-117.11581,500,95.579783
-135.7108,500,95.579791
-115.13042,500,95.579799
-128.40785,500,95.579806
-186.05875,500,96.83505
-112.07216,500,96.835102
-113.2952,500,96.835115
-96.125404,500,96.835124
-91.09644,500,96.835131
-164.63626,500,96.835138
-194.82922,500,98.266207
-67.832184,500,98.26626
-65.4867,500,98.266272
-57.03109,500,98.26628
-167.1102,500,98.266288
-113.734085,500,98.266295
-89.17516,500,99.547666
-136.7739,500,99.547712
-155.81079,500,99.547724
-100.62241,500,99.547733
-124.873405,500,99.547741
-118.6852,500,99.547749
-128.30466,500,101.035666
-115.68106,500,101.035715
-211.46454,500,101.035726
-256.33972,500,101.035738
-98.990234,500,101.035745
-111.55996,500,101.035753
-157.4782,500,102.348635
-86.7308,500,102.348689
-75.110825,500,102.348701
-122.14987,500,102.348712
-119.72276,500,102.34872
-137.24583,500,102.348727
-78.98937,500,103.787226
-130.6545,500,103.787277
-88.33709,500,103.787289
-80.14051,500,103.787297
-136.92712,500,103.787306
-219.47467,500,103.787313
-160.316,500,105.177797
-75.15474,500,105.178574
-69.244995,500,105.178623
-106.31038,500,105.178632
-102.55342,500,105.17864
-102.34403,500,105.178647
-100.18429,500,106.630439
-78.5189,500,106.630489
-103.01839,500,106.630501
-128.73021,500,106.630509
-153.02997,500,106.630525
-47.913433,500,106.630532
-76.426285,500,107.916648
-77.078125,500,107.916693
-120.25951,500,107.916704
-80.115425,500,107.916711
-129.61469,500,107.916718
-71.35798,500,107.916724
-102.77003,500,109.35611
-138.6626,500,109.356157
-77.55497,500,109.356168
-55.16485,500,109.356175
-108.42535,500,109.356182
-19.722542,500,109.356188
-76.03562,500,110.843261
-99.28509,500,110.843395
-99.13505,500,110.843419
-70.86034,500,110.84343
-115.84366,500,110.843439
-57.135406,500,110.843446
-45.80686,500,112.471625
-87.580185,500,112.471659
-43.166996,500,112.47167
-75.70085,500,112.471678
-71.97955,500,112.471686
-82.817635,500,112.471693
-27.319012,500,114.165929
-55.674477,500,114.165978
-61.04665,500,114.16599
-108.96314,500,114.165998
-53.74336,500,114.166006
-67.050606,500,114.166013
-184.1556,500,115.666902
-49.449097,500,115.666949
-59.85853,500,115.666965
-63.341236,500,115.666973
-53.395355,500,115.666981
-87.308655,500,115.666993
-52.68815,500,117.134117
-108.89559,500,117.134167
-63.13925,500,117.13418
-51.622433,500,117.134188
-49.1859,500,117.134196
-60.589893,500,117.134203
