#{"t_start": 1763618517.032555, "env_id": "None"}
r,l,t
-61.943413,500,118.250367
-167.40547,500,118.250375
-48.51931,500,118.250382
-129.49934,500,118.250389
-7.088262,500,119.624519
-58.641026,500,119.624571
-95.10354,500,119.624585
-66.7775,500,119.624594
-73.83688,500,119.624602
-56.6283,500,119.624609
-62.281258,500,120.861605
-66.80454,500,120.861663
-46.305023,500,120.861676
-155.89746,500,120.861685
-74.4482,500,120.861692
-78.037254,500,120.861699
-47.488853,500,122.241968
-76.428345,500,122.242017
-72.987976,500,122.242031
-104.42796,500,122.24204
-60.62909,500,122.242047
-82.05116,500,122.242054
-51.365826,500,123.474861
-27.050245,500,123.474916
-84.57708,500,123.474928
-93.15725,500,123.474936
-156.76523,500,123.474946
-71.19084,500,123.474953
-55.168858,500,124.843281
-81.284996,500,124.843336
-89.48956,500,124.84335
-104.949165,500,124.843358
-43.814705,500,124.843366
-48.183727,500,124.843373
-86.7064,500,126.084977
-51.691498,500,126.085029
-93.41385,500,126.085041
-43.889748,500,126.08505
-41.04213,500,126.085057
-43.949303,500,126.085064
-4.4735656,500,127.467775
-75.08666,500,127.467829
-37.68468,500,127.467844
-205.5157,500,127.467852
-20.414461,500,127.46786
-61.057144,500,127.467867
-14.976213,500,128.696334
-98.09958,500,128.696383
-102.807915,500,128.696395
-89.34842,500,128.696403
-128.42133,500,128.696414
-38.734993,500,128.696421
17.253614,500,130.069226
-38.129547,500,130.069283
-65.5932,500,130.0693
-140.54369,500,130.069308
-28.632782,500,130.069316
-107.83801,500,130.069326
-25.388,500,131.333796
-71.59463,500,131.333849
3.3266513,500,131.333861
-34.587124,500,131.333869
-61.246483,500,131.333877
-147.99211,500,131.333884
-71.3625,500,132.708576
-25.327951,500,132.708628
-58.778893,500,132.708641
-69.806816,500,132.708649
-88.33443,500,132.708657
-27.24223,500,132.708664
-50.00908,500,133.934238
3.1549034,500,133.934292
-177.62355,500,133.934304
-10.585251,500,133.934313
-13.382549,500,133.93432
-63.098145,500,133.934328
-57.5438,500,135.310023
-40.12624,500,135.310071
-18.65854,500,135.310083
-40.301987,500,135.310091
-16.788189,500,135.310099
-54.532272,500,135.310106
9.300219,500,136.574787
-59.472122,500,136.574836
25.073761,500,136.574854
-7.392711,500,136.574863
-94.50647,500,136.57487
-67.89367,500,136.574877
-24.800358,500,137.952024
-17.885128,500,137.952077
-51.736317,500,137.95209
-60.79775,500,137.952098
-25.028137,500,137.952105
40.34602,500,137.952112
6.7392197,500,139.178114
-1.2241442,500,139.178173
-176.31564,500,139.178201
-39.932343,500,139.178209
-80.72391,500,139.178216
-82.17824,500,139.178223
-18.27984,500,140.567451
-7.38193,500,140.567498
39.655396,500,140.567512
-114.34935,500,140.567519
-205.67188,500,140.567526
-42.176155,500,140.567532
-53.154205,500,141.794659
-15.896545,500,141.794713
-6.654628,500,141.794724
-123.86455,500,141.794732
-7.2737703,500,141.794739
